,expected_len,avg-rouge1-precision,avg-rouge1-recall,avg-rouge1-fmeasure,avg-rouge2-precision,avg-rouge2-recall,avg-rouge2-fmeasure,avg-rougeL-precision,avg-rougeL-recall,avg-rougeL-fmeasure,avg-bert-precision,avg-bert-recall,avg-bert-f1,gen_len,overflow_ratio
distil-BART+MCA without query,122.6125,0.3322,0.3553,0.3413,0.0948,0.1034,0.0981,0.1998,0.2152,0.2058,0.8626,0.8325,0.8472,114.5625,0.0291
BART-large+MCA without query,122.6125,0.3354,0.3464,0.3393,0.1002,0.1059,0.1022,0.2009,0.2094,0.2039,0.8579,0.8396,0.8485,119.025,0.0291
MCA+PMC,122.6125,0.3984,0.413,0.4041,0.1455,0.1506,0.1474,0.2426,0.2519,0.2462,0.8644,0.8515,0.8578,120.025,0.0294
BART-eli5+MCA with query,122.6125,0.1752,0.1936,0.183,0.0303,0.0335,0.0316,0.1365,0.1503,0.1423,0.8238,0.8058,0.8146,122.7125,0.0293
MCA(non-finetune),122.6125,0.3265,0.355,0.3389,0.1016,0.1124,0.1063,0.1932,0.2115,0.201,0.8604,0.8358,0.8478,121.3625,0.0293
BART(non-finetune),122.6125,0.362,0.3876,0.3729,0.1203,0.1306,0.1247,0.2087,0.2243,0.2153,0.8565,0.8457,0.851,124.1,0.1402
distil-BART without query,122.6125,0.3622,0.3583,0.3582,0.1133,0.1133,0.1125,0.2083,0.2079,0.2067,0.8573,0.8398,0.8484,112.475,0.1377
distil-BART with query,122.6125,0.3629,0.362,0.3602,0.1081,0.1089,0.1076,0.2058,0.2075,0.2052,0.8593,0.8401,0.8495,112.7375,0.1402
BART-large without query,122.6125,0.3691,0.3861,0.3755,0.1243,0.1316,0.127,0.213,0.226,0.2179,0.8602,0.8476,0.8538,120.05,0.1377
BART-large with query,122.6125,0.3696,0.3861,0.3757,0.117,0.1224,0.1189,0.2065,0.2179,0.2107,0.8594,0.8472,0.8532,120.125,0.1402
BART-eli5,122.6125,0.201,0.2259,0.2111,0.0481,0.0549,0.0508,0.1463,0.1651,0.154,0.8297,0.8125,0.8209,123.1875,0.1402
BART,122.6125,0.3667,0.3921,0.3777,0.1231,0.1333,0.1274,0.2142,0.2312,0.2215,0.8567,0.8458,0.8511,122.3625,0.1405
BART+PMC,122.6125,0.3955,0.4128,0.4025,0.1426,0.1493,0.1453,0.2276,0.2384,0.2319,0.8619,0.8503,0.856,120.775,0.1405
PEGASUS without query,117.125,0.3695,0.3456,0.3554,0.1228,0.1165,0.1188,0.2119,0.2015,0.2053,0.8644,0.8614,0.8628,104.6875,0.1261
BigBird without query,117.125,0.2483,0.2465,0.2456,0.0543,0.0533,0.0534,0.1629,0.1635,0.162,0.8278,0.8165,0.822,108.1625,0.0119
PEGASUS with query,117.125,0.3665,0.3429,0.3527,0.1201,0.1132,0.1159,0.2115,0.1997,0.2043,0.8636,0.8595,0.8615,105.05,0.1283
BigBird with query,117.125,0.2548,0.2533,0.2503,0.0542,0.0539,0.0538,0.1723,0.1715,0.169,0.8292,0.8193,0.8241,108.2875,0.012
