Name,CUDA time avg in ms,Self CUDA Mem in Mb,Input Length in Token
bart_model,70.915,6130.0,15872
bart_model,70.112,5760.0,15360
bart_model,63.979,5400.0,14848
bart_model,59.387,5050.0,14336
bart_model,53.957,4710.0,13824
bart_model,50.758,4380.0,13312
bart_model,49.801,4070.0000000000005,12800
bart_model,44.981,3760.0,12288
bart_model,42.627,3470.0,11776
bart_model,39.884,3190.0,11264
bart_model,37.374,2930.0,10752
bart_model,34.768,2670.0,10240
bart_model,31.661,2430.0,9728
bart_model,26.769,2200.0,9216
bigbird_model_64,24.727,1700.0,15872
bart_model,24.643,1980.0,8704
bigbird_model_64,23.937,1640.0,15360
bigbird_model_64,23.252,1590.0,14848
bigbird_model_32,23.191,1390.0,15872
bigbird_model_32,22.672,1350.0,15360
bart_model,22.504,1760.0,8192
bigbird_model_64,22.204,1530.0,14336
bigbird_model_32,22.126,1300.0,14848
bigbird_model_64,21.487,1480.0,13824
bart_model,21.209,1570.0,7680
bigbird_model_32,21.024,1260.0,14336
bigbird_model_64,20.712,1420.0,13312
bigbird_model_32,20.373,1210.0,13824
bigbird_model_64,20.003,1370.0,12800
bigbird_model_32,19.697,1170.0,13312
bigbird_model_64,19.267,1320.0,12288
bigbird_model_32,18.955,1120.0,12800
bigbird_model_64,18.657,1260.0,11776
bigbird_model_32,18.235,1080.0,12288
bigbird_model_64,17.946,1210.0,11264
bart_model,17.771,1380.0,7168
bigbird_model_32,17.613,1040.0,11776
bigbird_model_32,17.036,1014.38,11264
bigbird_model_16,16.551,1240.0,15872
bigbird_model_16,16.051,1210.0,15360
bigbird_model_16,16.025,1160.0,14848
bart_model,15.904,1210.0,6656
bigbird_model_16,14.966,1120.0,14336
bigbird_model_64,14.484,1150.0,10752
bigbird_model_16,14.457,1080.0,13824
bigbird_model_16,14.328,1050.0,13312
bigbird_model_64,13.671,1040.0,9728
bart_model,13.452,1040.0,6144
bigbird_model_16,13.445,1000.0,12800
bigbird_model_64,13.334,1100.0,10240
bigbird_model_64,13.06,1020.93,9216
bigbird_model_32,13.03,973.78,10752
bigbird_model_16,13.024,989.96,12288
bigbird_model_16,12.575,946.7,11776
bigbird_model_64,12.484,957.2,8704
bigbird_model_32,12.174,878.05,9728
bigbird_model_16,12.156,904.62,11264
bigbird_model_32,11.998,924.81,10240
bigbird_model_64,11.872,901.72,8192
bart_model,11.774,915.86,5632
bigbird_model_32,11.579,836.56,9216
bigbird_model_64,11.378,845.43,7680
bigbird_model_32,11.075,794.2,8704
bigbird_model_16,10.753,866.17,10752
bigbird_model_32,10.528,746.82,8192
mca_model,10.27,698.34,15360
mca_model,10.269,721.96,15872
bigbird_model_16,10.16,787.51,9728
bigbird_model_64,10.159,789.57,7168
bigbird_model_32,10.084,698.65,7680
bart_model,10.063,776.22,5120
bigbird_model_16,9.958,826.03,10240
mca_model,9.7,673.96,14848
bigbird_model_16,9.671,750.37,9216
bigbird_model_64,9.565,740.0,6656
mca_model,9.382,651.09,14336
bigbird_model_16,9.286,709.26,8704
bigbird_model_32,9.083,650.62,7168
bigbird_model_64,8.863,681.8,6144
bigbird_model_16,8.829,668.97,8192
mca_model,8.739,628.21,13824
bigbird_model_32,8.577,613.9,6656
bigbird_model_16,8.494,627.47,7680
mca_model,8.48,609.34,13312
mca_model,8.47,582.46,12800
bigbird_model_64,8.192,627.82,5632
mca_model,7.961,559.59,12288
bigbird_model_32,7.912,561.27,6144
bart_model,7.907,643.59,4608
mca_model,7.672,536.71,11776
bigbird_model_16,7.633,591.0,7168
bigbird_model_64,7.627,567.09,5120
mca_model,7.461,513.84,11264
bigbird_model_32,7.355,514.91,5632
mca_model,7.276,490.96,10752
bigbird_model_16,7.194,552.77,6656
bigbird_model_64,6.884,516.61,4608
mca_model,6.814,445.21,9728
mca_model,6.808,468.09,10240
bigbird_model_32,6.792,471.21,5120
bart_model,6.693,523.46,4096
bigbird_model_16,6.662,509.65,6144
mca_model,6.468,428.34,9216
mca_model,6.26,405.59,8704
bigbird_model_64,6.191,456.32,4096
bigbird_model_32,6.178,431.66,4608
bigbird_model_16,6.169,473.25,5632
mca_model,5.823,376.59,8192
